Name,year,Esrp,Genre,rate,vote,country,company,Global_Sales
Wiedzmin 3: Dziki Gon Krew i wino,2016,Mature,Drama,9.8,7000,Poland,CD Projekt RED,82.54
Red Dead Redemption II,2018,Mature,Crime,9.7,35000,United Kingdom,Rockstar Games,40.24
Wiedzmin 3: Dziki Gon,2015,Mature,Drama,9.7,26000,Poland,CD Projekt RED,35.57
The Last of Us,2013,Mature,Drama,9.7,60000,United States,Naughty Dog,32.78
Mass Effect: Legendary Edition,2021,Mature,Sci-Fi,9.7,1000,United States,Unknown,31.37
God of War,2018,Mature,Drama,9.6,26000,United States,SCEA Santa Monica Studios,30.26
Perusona 5: Za roiyaru,2019,Mature,Fantasy,9.6,1000,Japan,Atlus,29.81
Zeruda no densetsu: Toki no okarina,1998,Everyone,Fantasy,9.6,9000,Japan,Nintendo Entertainment Analysis and Development (EAD) (I),28.92
Metal Gear Solid,1998,Mature,Drama,9.6,12000,Japan,Konami Computer Entertainment,28.38
Wiedzmin 3: Dziki Gon - Serca z kamienia,2015,Mature,Drama,9.5,6000,Poland,CD Projekt RED,28.31
Uncharted 4: A Thief's End,2016,Teen,Drama,9.5,28000,United States,Naughty Dog,24.67
Zeruda no densetsu: Buresu obu za wairudo,2017,Everyone10+,Fantasy,9.5,7000,United States,Nintendo Entertainment Planning & Development (EPD),23.22
Grand Theft Auto V,2013,Mature,Crime,9.5,59000,United Kingdom,Rockstar Games,23.1
Mass Effect 2,2010,Mature,Drama,9.5,20000,United States,Bioware,22.7
Red Dead Redemption,2010,Mature,Crime,9.5,26000,United States,Rockstar Games,21.86
Half-Life: Alyx,2020,Not Rated,Horror,9.5,710,United States,Valve,21.79
Elden Ring,2022,Mature,Fantasy,9.5,3000,Japan,Bandai Namco Entertainment,21.12
Metal Gear Solid 3: Subsistence,2005,Mature,Drama,9.5,2000,Japan,Kojima Productions,20.81
Metal Gear Solid 3: Snake Eater,2004,Mature,Drama,9.5,10000,Japan,Konami Computer Entertainment,20.61
Star Wars: Knights of the Old Republic,2003,Teen,Fantasy,9.5,8000,United States,Bioware,20.15
Chrono Trigger,1995,Everyone,Fantasy,9.5,3000,Japan,Square Company,18.25
Fainaru fantajî VII,1997,Teen,Fantasy,9.5,10000,Japan,Square Company,18.14
Fallout 2: A Post-Nuclear Role-Playing Game,1998,Mature,Sci-Fi,9.5,3000,United States,Interplay Entertainment,17.28
Uncharted: The Nathan Drake Collection,2015,Teen,Fantasy,9.4,5000,United States,Sony Interactive Entertainment,16.3
Bloodborne: The Old Hunters,2015,Mature,Fantasy,9.4,1000,Japan,From Software,16.15
Final Fantasy X/X-2: HD Remaster,2013,Teen,Fantasy,9.4,8,Japan,Square Enix Company,15.85
The Elder Scrolls V: Skyrim,2011,Mature,Fantasy,9.4,29000,United States,Bethesda Game Studios,15.29
Tiny Thief,2013,Everyone,Crime,9.4,7,Finland,5 Ants Games,15.14
Portal 2,2011,Everyone10+,Sci-Fi,9.4,15000,United States,Valve,14.98
Batman: Arkham City,2011,Teen,Crime,9.4,31000,United Kingdom,DC Entertainment,14.92
Uncharted: Legacy of Thieves Collection,2022,Teen,Drama,9.4,244,United States,Naughty Dog,14.8
Uncharted 2: Among Thieves,2009,Teen,Fantasy,9.4,25000,United States,Naughty Dog,14.77
Batman: Arkham Collection,2018,Mature,Adventure,9.4,258,United States,Unknown,14.67
Metal Gear Solid 4: Guns of the Patriots,2008,Mature,Drama,9.4,11000,Japan,Kojima Productions,14.64
Grand Theft Auto: San Andreas,2004,Mature,Crime,9.4,39000,United Kingdom,Rockstar North,13.79
Half-Life 2,2004,Mature,Sci-Fi,9.4,16000,United States,Valve,13.69
Silent Hill 2,2001,Mature,Mystery,9.4,6000,Japan,Creature Labs,13.48
Forgotten Realms: Baldur's Gate II - Shadows of Amn,2000,Teen,Fantasy,9.4,2000,United States,Bioware,13.36
Planescape: Torment,1999,Teen,Fantasy,9.4,2000,United States,Black Isle Studios,13.32
Kingdom Hearts HD 1.5 + 2.5 Remix,2017,Everyone10+,Family,9.3,657,Japan,Disney Interactive Japan,13.1
Persona 5,2016,Mature,Fantasy,9.3,2000,Japan,Atlus,13.04
P.T.,2014,Not Rated,Mystery,9.3,1000,United States,Kojima Productions,12.87
Persona 4 Golden,2012,Mature,Fantasy,9.3,1000,Japan,Atlus,12.64
Zeruda no densetsu: Toki no okarina 3D,2011,Everyone10+,Family,9.3,1000,Japan,Grezzo,12.13
Mass Effect 3: Citadel,2013,Mature,Sci-Fi,9.3,139,Canada,Bioware,12.12
Kingdom Hearts II: Final Mix+,2007,Not Rated,Family,9.3,1000,Japan,Square Enix Company,11.95
Wanda to kyozô,2005,Teen,Drama,9.3,4000,Japan,Sony Computer Entertainment,11.89
Kingdom Hearts II,2005,Everyone10+,Family,9.3,7000,Japan,Buena Vista Games,11.77
