Name,year,Esrp,Genre,rate,vote,country,company,Sales
Wiedzmin 3: Dziki Gon Krew i wino,2016,Mature,Drama,9.8,7000,Poland,CD Projekt RED,0.03
Red Dead Redemption II,2018,Mature,Crime,9.7,35000,United Kingdom,Rockstar Games,0.02
Wiedzmin 3: Dziki Gon,2015,Mature,Drama,9.7,26000,Poland,CD Projekt RED,0.06
The Last of Us,2013,Mature,Drama,9.7,60000,United States,Naughty Dog,0.04
Mass Effect: Legendary Edition,2021,Mature,Sci-Fi,9.7,1000,United States,Unknown,0.01
God of War,2018,Mature,Drama,9.6,26000,United States,SCEA Santa Monica Studios,0.79
Perusona 5: Za roiyaru,2019,Mature,Fantasy,9.6,1000,Japan,Atlus,0.34
Zeruda no densetsu: Toki no okarina,1998,Everyone,Fantasy,9.6,9000,Japan,Nintendo Entertainment Analysis and Development (EAD) (I),0.34
Metal Gear Solid,1998,Mature,Drama,9.6,12000,Japan,Konami Computer Entertainment,0.25
Wiedzmin 3: Dziki Gon - Serca z kamienia,2015,Mature,Drama,9.5,6000,Poland,CD Projekt RED,0.22
Uncharted 4: A Thief's End,2016,Teen,Drama,9.5,28000,United States,Naughty Dog,0.04
Zeruda no densetsu: Buresu obu za wairudo,2017,Everyone1Adults Only+,Fantasy,9.5,7000,United States,Nintendo Entertainment Planning & Development (EPD),0.03
Grand Theft Auto V,2013,Mature,Drama,9.5,60000,United Kingdom,Rockstar Games,1.28
Mass Effect 2,2010,Mature,Drama,9.5,20000,United States,Bioware,0.81
Red Dead Redemption,2010,Mature,Crime,9.5,26000,United States,Rockstar Games,0.58
Elden Ring,2022,Mature,Fantasy,9.5,3000,Japan,Bandai Namco Entertainment,0.55
Metal Gear Solid 3: Subsistence,2005,Mature,Drama,9.5,2000,Japan,Kojima Productions,0.44
Metal Gear Solid 3: Snake Eater,2004,Mature,Drama,9.5,10000,Japan,Konami Computer Entertainment,0.42
Star Wars: Knights of the Old Republic,2003,Teen,Fantasy,9.5,8000,United States,Bioware,0.39
Chrono Trigger,1995,Everyone,Fantasy,9.5,3000,Japan,Square Company,0.37
Fainaru fantajî VII,1997,Teen,Fantasy,9.5,10000,Japan,Square Company,0.36
Fallout 2: A Post-Nuclear Role-Playing Game,1998,Mature,Sci-Fi,9.5,3000,United States,Interplay Entertainment,0.36
Uncharted: The Nathan Drake Collection,2015,Teen,Fantasy,9.4,5000,United States,Sony Interactive Entertainment,0.33
Bloodborne: The Old Hunters,2015,Mature,Fantasy,9.4,1000,Japan,From Software,0.3
The Elder Scrolls V: Skyrim,2011,Mature,Fantasy,9.4,29000,United States,Bethesda Game Studios,0.3
Portal 2,2011,Everyone1Adults Only+,Sci-Fi,9.4,16000,United States,Valve,0.25
Batman: Arkham City,2011,Teen,Crime,9.4,31000,United Kingdom,DC Entertainment,0.24
Uncharted 2: Among Thieves,2009,Teen,Fantasy,9.4,25000,United States,Naughty Dog,0.17
Metal Gear Solid 4: Guns of the Patriots,2008,Mature,Drama,9.4,11000,Japan,Kojima Productions,0.14
Grand Theft Auto: San Andreas,2004,Mature,Crime,9.4,39000,United Kingdom,Rockstar North,0.13
Half-Life 2,2004,Mature,Sci-Fi,9.4,16000,United States,Valve,0.13
Silent Hill 2,2001,Mature,Mystery,9.4,6000,Japan,Creature Labs,0.13
Forgotten Realms: Baldur's Gate II - Shadows of Amn,2000,Teen,Fantasy,9.4,2000,United States,Bioware,0.11
Planescape: Torment,1999,Teen,Fantasy,9.4,2000,United States,Black Isle Studios,0.11
Persona 5,2016,Mature,Fantasy,9.3,2000,Japan,Atlus,0.07
P.T.,2014,Not Rated,Mystery,9.3,1000,United States,Kojima Productions,0.07
