Name,year,esrp,genre,rate,vote,country,company
Mythic Heroes,2021,20212021,Action,10.0,5,Canada,I Got Games (IGG)
Wiedzmin 3: Dziki Gon Krew i wino,2016,20162016MM,ActionAdventureDrama,9.8,7.5K,Poland,CD Projekt RED
Red Dead Redemption II,2018,20182018MM,ActionAdventureCrime,9.7,35K,United Kingdom,Rockstar Games
Wiedzmin 3: Dziki Gon,2015,20152015MM,ActionAdventureDrama,9.7,26K,Poland,CD Projekt RED
The Last of Us,2013,20132013MM,ActionAdventureDrama,9.7,60K,United States,Naughty Dog
Mass Effect: Legendary Edition,2021,20212021MM,ActionAdventureSci-Fi,9.7,1.5K,United States,
God of War,2018,20182018MM,ActionAdventureDrama,9.6,26K,United States,SCEA Santa Monica Studios
Perusona 5: Za roiyaru,2019,20192019MM,ActionAdventureFantasy,9.6,1.2K,Japan,Atlus
Zeruda no densetsu: Toki no okarina,1998,19981998EE,ActionAdventureFantasy,9.6,9.5K,Japan,Nintendo Entertainment Analysis and Development (EAD) (I)
Metal Gear Solid,1998,19981998MM,ActionAdventureDrama,9.6,12K,Japan,Konami Computer Entertainment
Wiedzmin 3: Dziki Gon - Serca z kamienia,2015,20152015MM,ActionAdventureDrama,9.5,6.2K,Poland,CD Projekt RED
Uncharted 4: A Thief's End,2016,20162016TT,ActionAdventureDrama,9.5,28K,United States,Naughty Dog
Zeruda no densetsu: Buresu obu za wairudo,2017,20172017E10+E10+,ActionAdventureFantasy,9.5,7K,United States,Nintendo Entertainment Planning & Development (EPD)
Grand Theft Auto V,2013,20132013MM,ActionCrimeDrama,9.5,60K,United Kingdom,Rockstar Games
Tiny Thief,2013,20132013EE,AdventureComedyCrime,9.5,8,Finland,5 Ants Games
Mass Effect 2,2010,20102010MM,ActionAdventureDrama,9.5,20K,United States,Bioware
Red Dead Redemption,2010,20102010MM,ActionAdventureCrime,9.5,26K,United States,Rockstar Games
Half-Life: Alyx,2020,20202020,ActionAdventureHorror,9.5,714,United States,Valve
Elden Ring,2022,20222022MM,ActionAdventureFantasy,9.5,3.9K,Japan,Bandai Namco Entertainment
Metal Gear Solid 3: Subsistence,2005,20052005MM,ActionAdventureDrama,9.5,2.5K,Japan,Kojima Productions
Metal Gear Solid 3: Snake Eater,2004,20042004MM,ActionAdventureDrama,9.5,10K,Japan,Konami Computer Entertainment
Star Wars: Knights of the Old Republic,2003,20032003TT,ActionAdventureFantasy,9.5,8.6K,United States,Bioware
Chrono Trigger,1995,19951995EE,ActionAdventureFantasy,9.5,3K,Japan,Square Company
Fainaru fantajî VII,1997,19971997TT,ActionAdventureFantasy,9.5,10K,Japan,Square Company
Fallout 2: A Post-Nuclear Role-Playing Game,1998,19981998MM,ActionAdventureSci-Fi,9.5,3.8K,United States,Interplay Entertainment
Uncharted: The Nathan Drake Collection,2015,20152015TT,ActionAdventureFantasy,9.4,5.3K,United States,Sony Interactive Entertainment
Bloodborne: The Old Hunters,2015,20152015MM,ActionAdventureFantasy,9.4,1.5K,Japan,From Software
The Elder Scrolls V: Skyrim,2011,20112011MM,ActionAdventureFantasy,9.4,29K,United States,Bethesda Game Studios
Portal 2,2011,20112011E10+E10+,AdventureComedySci-Fi,9.4,16K,United States,Valve
Batman: Arkham City,2011,20112011TT,ActionAdventureCrime,9.4,31K,United Kingdom,DC Entertainment
Uncharted: Legacy of Thieves Collection,2022,20222022TT,ActionAdventureDrama,9.4,253,United States,Naughty Dog
Cookie Run: OvenBreak,2016,20162016EE,AnimationActionAdventure,9.4,27,South Korea,Devsisters
Uncharted 2: Among Thieves,2009,20092009TT,ActionAdventureFantasy,9.4,25K,United States,Naughty Dog
Batman: Arkham Collection,2018,20182018MM,Adventure,9.4,264,United States,
Metal Gear Solid 4: Guns of the Patriots,2008,20082008MM,ActionAdventureDrama,9.4,11K,Japan,Kojima Productions
Grand Theft Auto: San Andreas,2004,20042004MM,ActionCrime,9.4,39K,United Kingdom,Rockstar North
Half-Life 2,2004,20042004MM,ActionAdventureSci-Fi,9.4,16K,United States,Valve
Silent Hill 2,2001,20012001MM,DramaHorrorMystery,9.4,6.6K,Japan,Creature Labs
Forgotten Realms: Baldur's Gate II - Shadows of Amn,2000,20002000TT,ActionAdventureFantasy,9.4,2.1K,United States,Bioware
Planescape: Torment,1999,19991999TT,AdventureDramaFantasy,9.4,2K,United States,Black Isle Studios
Umineko When They Cry Chiru,2009,20092009,FantasyHorrorMystery,9.3,130,Japan,07th Expansion
Kingdom Hearts HD 1.5 + 2.5 Remix,2017,20172017E10+E10+,ActionAdventureFamily,9.3,660,Japan,Disney Interactive Japan
Persona 5,2016,20162016MM,ActionAdventureFantasy,9.3,2.6K,Japan,Atlus
P.T.,2014,20142014Not RatedNot Rated,HorrorMystery,9.3,1.7K,United States,Kojima Productions
Persona 4 Golden,2012,20122012MM,ActionAdventureFantasy,9.3,1.1K,Japan,Atlus
Zeruda no densetsu: Toki no okarina 3D,2011,20112011E10+E10+,ActionAdventureFamily,9.3,1.1K,Japan,Grezzo
Mass Effect 3: Citadel,2013,20132013MM,ActionAdventureSci-Fi,9.3,141,Canada,Bioware
Omori,2020,20202020MM,AdventureDramaFantasy,9.3,368,,
Kingdom Hearts II: Final Mix+,2007,20072007,ActionAdventureFamily,9.3,1.3K,Japan,Square Enix Company
Wanda to kyozô,2005,20052005TT,ActionAdventureDrama,9.3,4K,Japan,Sony Computer Entertainment
Kingdom Hearts II,2005,20052005E10+E10+,ActionAdventureFamily,9.3,7.2K,Japan,Buena Vista Games
Zeruda no densetsu: Kamigami no toraifôsu,1991,19911991EE,ActionAdventureFantasy,9.3,3.4K,Japan,Nintendo Entertainment Analysis and Development (EAD) (I)
The Secret of Monkey Island,1990,19901990EE,AdventureComedyFantasy,9.3,3.1K,United States,Lucasfilm Games
Monkey Island 2: LeChuck's Revenge,1991,19911991,AdventureComedyFantasy,9.3,2.4K,United States,LucasArts Entertainment Company
Ghost of Tsushima,2020,20202020MM,ActionAdventureDrama,9.2,8.2K,United States,Sucker Punch Productions
Spider-Man,2018,20182018TT,ActionAdventureFantasy,9.2,20K,United States,Insomniac Games
Batman: Return to Arkham,2016,20162016TT,ActionAdventureCrime,9.2,1.8K,United Kingdom,Rocksteady Studios
Detroit: Become Human,2018,20182018MM,ActionAdventureDrama,9.2,17K,France,Quantic Dream
Kidou Butoden G-Gundam,1994,19941994,Action,9.2,7,Japan,
Bloodborne,2015,20152015MM,ActionAdventureFantasy,9.2,5.3K,Japan,From Software
Kingdom Hearts HD 2.5 Remix,2014,20142014E10+E10+,ActionAdventureFamily,9.2,853,Japan,Square Enix Company
The Orange Box,2007,20072007MM,ActionAdventureComedy,9.2,692,United States,Valve
The Walking Dead: The Game - Season 1,2012,20122012MM,DramaHorrorSci-Fi,9.2,13K,United States,Telltale Games
Shovel Knight: King of Cards,2019,20192019EE,ActionAdventureFantasy,9.2,5,,
Scarface: Money. Power. Respect.,2006,20062006MM,Action,9.2,89,United States,PlayStation Portable
GTAV,2013,20132013,ActionCrimeDrama,9.2,142,,Rockstar New York
Fire Pro Wrestling World,2017,20172017,Action,9.2,5,Japan,
Disco Elysium - The Final Cut,2021,20212021MM,ComedyCrimeDrama,9.2,341,United Kingdom,
It Takes Two,2021,20212021TT,AdventureComedyDrama,9.2,2.1K,Sweden,Hazelight Studios
Persona 4,2008,20082008MM,ActionAdventureFantasy,9.2,1K,Japan,Atlus
Rain World,2017,20172017E10+E10+,ActionAdventureFantasy,9.2,12,United States,Videocult
Batman: Arkham Asylum,2009,20092009TT,ActionAdventureCrime,9.2,27K,United Kingdom,DC Comics
Horizon: Forbidden West,2022,20222022TT,ActionAdventureMystery,9.2,2.8K,Netherlands,Guerrilla Games
Battle Through the Heavens,2018,20182018,,9.2,26,China,Tencent Games
Hoko no yuusha no nariagari: Relive the Animation,2019,20192019,Adventure,9.2,6,Japan,
Trogdor!,2003,20032003,ActionComedyFantasy,9.2,6,United States,Videlectrix
God of War II,2007,20072007MM,ActionAdventureFantasy,9.2,9.1K,United States,SCEA Santa Monica Studios
Biohazard 4,2005,20052005MM,ActionAdventureFantasy,9.2,13K,Japan,Armature Studio
Mafia: The City of Lost Heaven,2002,20022002MM,ActionCrimeDrama,9.2,5.9K,Czech Republic,Illusion Softworks
Kingdom Hearts,2002,20022002EE,ActionAdventureFamily,9.2,7.3K,Japan,Disney Interactive Japan
